Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Marz, Ron",,person,,"Marz, Ron [person] ; Fowler, Tim [person] ; Naifeh, Ted [person]",010761751,Monograph,Language material ; Text,Volume,GBA2Y4605,9781840234633,"Villains pack (Jango Fett, Zam Wesell)",,,,England,London,Titan,2002,,"2 volumes (128 pages), colour illustrations, 26 cm",741.5,YK.2003.b.3092,,Science fiction,English,Film tie-in
"Marz, Ron",,person,,"Marz, Ron [person] ; Fowler, Tom [person] ; Jackson, Dan, 1971- [person]",010761750,Monograph,Language material ; Text,Volume,GBA312024,9781840234619,Jango Fett,,Star Wars,,England,London,Titan,2002,,"32 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2003.b.3093,,Science fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Jurgens, Dan [person] ; David, Peter (Peter Allen) [person]",012029334,Monograph,Language material ; Text,Volume,GB96X6456,9781852867508,DC vs Marvel,,,,England,London,Titan,1996,,"166 pages, colour illustrations, 26 cm",741.5973,YK.1997.b.1265,Heroes--Pictorial works--Fiction,Science fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Kesel, Karl [person]",010386098,Monograph,Language material ; Text,Volume,GB98W5082,9781563894190,The final night,,,,England ; United States of America,Maidstone ; New York,Amalgamated Book Services ; DC Comics,1998,,"144 pages, all colour illustrations, 26 cm",741.5973,,,Science fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Kordey, Igor [person]",010761638,Monograph,Language material ; Text,Volume,GBA0W6996,9781840232356,Claws of the catwoman,,Batman/Tarzan,,England,London,Titan,2000,,"96 pages, all colour illustrations, 26 cm",741.5973,YK.2000.b.4274,"Tarzan, (Fictitious character)--Comic books, strips, etc ; Batman, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Lawrence, Jack, 1975- [person] ; Bullock, Mike, 1968- [person]",013547464,Monograph,Language material ; Text,Volume,GBA676720,,"Lions, tigers and bears",Betrayal ; Fear and pride,,,United States of America,"Berkeley, California",Image Comics,2006-,,"volumes, chiefly colour illustrations, 26 cm",741.5973,YK.2009.b.361 ; YK.2009.b.363,"Adventure and adventurers--Comic books, strips, etc ; Stuffed animals (Toys)--Comic books, strips, etc ; Imagination in children--Comic books, strips, etc",Comic or graphic novel ; Fantasy ; Novel,English,"'Originally published in single magazine form as Lions, tigers & bears #1-4'--Vol. 1 ; 'Originally published in single magazine form as Lions, tigers & bears, volume 2 #1-4'--Vol. 2 ; Statements of responsibility vary for individual volume"
"Marz, Ron",,person,,"Marz, Ron [person] ; Leonardi, Rick [person]",012286282,Monograph,Language material ; Text,Volume,GBA1W9277,9781840232837,Green Lantern versus Aliens,,,,England,London,Titan,2001,,"96 pages, all colour illustrations, 26 cm",741.5973,,,Science fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Leonardi, Rick [person]",015109582,Monograph,Language material ; Text,Volume,GBA936830,9781607060536,First born,,,,England ; United States of America,"Berkeley, California ; London",Diamond ; Top Cow,2009,,"1 volume, chiefly colour illustrations",741.5,,,Fantasy ; Young adult fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Magyar, Rick [person] ; Duursema, Jan [person]",010761658,Monograph,Language material ; Text,Volume,GBA132892,9781840232851,Darth Maul,,,,England,London,Titan,2001,,"96 pages, all colour illustrations, 26 cm",741.5973,YK.2004.b.679,,Science fiction,English,
"Marz, Ron",,person,,"Marz, Ron [person] ; Moder, Lee [person]",015974540,Monograph,Language material ; Text,Volume,GBB1D4565,9781607064800,Shinku. Volume 1. 'Throne of blood',Throne of blood,,,United States of America,"Berkeley, California",Image Comics,2012,,"160 pages, chiefly illustrations (chiefly colour), 26 cm",741.5973,YK.2013.b.5875,"Samurai--Comic books, strips, etc--Fiction ; Vampires--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,'Originally published in single issue format as Shinku #1-5'--Facing t.p
"Marz, Ron",,person,,"Marz, Ron [person] ; Šejić, Stjepan [person]",014921378,Monograph,Language material ; Text,Volume,GBA923249,9781607060512,Broken trinity,Broken trinity trade paperback. Vol. 1,,,United States of America,"Berkeley, California",Top Cow Productions,2010,,"208 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.7385,"Young adult fiction, American",Comic or graphic novel ; Fantasy ; Novel,English,"'Originally published in single magazine form as Broken trinity #1-3, Broken trinity: The Darkness #1, Broken trinity: Witchblade #1, Broken trinity: The Angelus #1, Broken trinity: Aftermath #1'--Indicia ; Title from cover"
"Marz, Ron",,person,,"Marz, Ron [person] ; Šejić, Stjepan [person]",016026965,Monograph,Language material ; Text,Volume,GBB212924,9781607065067,Artifacts origins. First born,First born,,,United States of America,Los Angeles,Top Cow Productions,2012,,"216 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2012.b.8536,,Comic or graphic novel ; Fantasy ; Young adult fiction,English,"'Originally published in single magazine form as First Born #1-3, First Born: Aftermath, and Witchblade #110-112'--T.p. verso ; 'Witchblade created by Marc Silvestri, Brian Haberlin, David Wohl and Michael Turner. The Darkness created by Marc Silvestri, Garth Ennis and David Wohl'--T.p. verso ; Title from cover"
"Marz, Ron",,person,,"Marz, Ron [person]",011631077,Monograph,Language material ; Text,Volume,GB97V8897,9781563892226,A hero reborn,,,,United States of America,New York,DC Comics,1998,,"128 pages, all colour illustrations, 26 cm",741.5973,,,Science fiction,English,
"Marz, Ron",,person,author,"Braga, Laura, artist ; cartoonist [person] ; Marz, Ron, author [person]",017372360,Monograph,Language material ; Still image ; Text,Volume,GBB567510,9781632152978,Borne again. Volume 3,,Witchblade,,United States of America,Berkeley,Image Comics,2015,,"1 volume, chiefly illustrations, 27 cm",741.5,,"Pezzini, Sara (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Marz, Ron",,person,author,"Burroughs, Edgar Rice, 1875-1950 [person] ; Marz, Ron, author [person] ; Medel, Ariel, artist [person] ; Edginton, Ian, author [person]",017726398,Monograph,Language material ; Still image ; Text,Volume,GBB616736,9781606908136,"John Carter, Warlord of Mars. Volume 2. Man-made monster",Man-made monster,,,United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2016,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2017.b.4936,,Science fiction,English,"'Based on the stories by Edgar Rice Burroughs' ; 'Contains materials originally published in John Carter, Warlord of Mars, volume 2, #7-14'--Title page verso"
"Marz, Ron",,person,author,"David, Peter (Peter Allen), author [person] ; Ostrander, John, author [person] ; Marz, Ron, author [person]",018171787,Monograph,Language material ; Still image ; Text,Volume,GBB704655,9781506702735,Justice League,,,,United States of America,Milwaukie,Dark Horse,2017,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Justice League Dark (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marz, Ron",,person,author,"Gonia, Betsy, artist [person] ; House, Maan, artist [person] ; Peteri, Troy [person] ; Marz, Ron, author [person] ; Braga, Laura, artist [person]",016868499,Monograph,Language material ; Still image ; Text,Volume,GBB4A0031,9781632150592,Borne again,,Witchblade,volume 2 [Witchblade],United States of America,Los Angeles,Top Cow Productions,2015,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2016.b.5063,"Pezzini, Sara (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Marz, Ron",,person,author,"Hine, David, author [person] ; Haun, Jeremy, artist [person] ; Bernard, Diego, artist [person] ; Seeley, Tim, author [person] ; Šejić, Stjepan, artist [person] ; Marz, Ron, author [person] ; Blake, Nelson, ii, artist [person] ; Turini, Marco, artist [person]",016454249,Monograph,Language material ; Still image ; Text,Volume,GBB362417,9781607067481,Progeny. Vol. 1,,,,United States of America,Los Angeles,Top Cow Productions,2013,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2013.b.13419,,Comic or graphic novel ; Science fiction ; Young adult fiction,English,"'Collects Artifacts #25-26, Witchblade #164-165, and The Darkness #111'--Back cover"
"Marz, Ron",,person,author,"Kesel, Karl, author [person] ; Marz, Ron, author [person]",020141394,Monograph,Language material ; Still image ; Text,Volume,GBC147341,9781779509123,The final night,,,,United States of America,"Burbank, California",DC Comics,2021,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marz, Ron",,person,author,"Lim, Ronald, artist [person] ; Marz, Ron, author [person] ; Kennedy, Susan, author [person]",018285886,Monograph,Language material ; Still image ; Text,Volume,GBB760541,9781302907112,Silver Surfer epic collection : the infinity gauntlet,,,,United States of America,New York,Marvel Worldwide,2017,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Silver Surfer, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marz, Ron",,person,author,"Lim, Ronald, artist [person] ; Marz, Ron, author [person]",017544109,Monograph,Language material ; Still image ; Text,Volume,GBB5C4207,9780785198178,Cosmic powers,,Thanos,,United States of America,New York,Marvel Worldwide,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Marz, Ron",,person,author,"Malsuni, Abhishek, 1984-, artist [person] ; Marz, Ron, author [person] ; Castro, Roberto, artist [person] ; Burroughs, Edgar Rice, 1875-1950 [person]",017533123,Monograph,Language material ; Still image ; Text,Volume,GBB5C0921,9781606907566,Invaders of Mars,"John Carter, warlord of Mars ; Mars novels","John Carter, warlord of Mars","volume: 1 [John Carter, warlord of Mars]",United States of America,"Montana Laurel, New Jersey",Dynamite,2015,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.2340,,Science fiction,English,"'Based on the stories by Edgar Rice Burroughs.' ; 'Contains material originally published in John Carter, warlord of Mars, volume 1, #1-6'--Colophon"
"Marz, Ron",,person,author,"Manna, Francisco, artist [person] ; Hine, David, author [person] ; House, Maan, artist [person] ; Hawkins, Matt, author ; writer [person] ; Marz, Ron, author [person] ; Cady, Ryan, editor [person] ; Rearte, Gabriel, 1971-, artist [person]",017654286,Monograph,Language material ; Still image ; Text,Volume,GBB5H6013,9781632156075,Borne again. volume 3,,Witchblade,,United States of America,Los Angeles,Top Cow Productions,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2017.b.4315,,Fantasy,English,
"Marz, Ron",,person,author,"Marz, Ron, author [person] ; Castro, Roberto, artist [person]",019453876,Monograph,Language material ; Still image ; Text,Volume,GBB9B6778,9781524112851,Turok : valley of the lost,,,,United States of America,Mount Laurel,Dynamite Entertainment,2019,,"1 volume, chiefly illustrations, 27 cm",741.5,,"Turok, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Marz, Ron",,person,author,"Marz, Ron, author [person] ; Geovanni, Walter, artist [person]",016261684,Monograph,Language material ; Still image ; Text,Volume,GBB308485,9781606903995,Prophecy,,,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2013,,"1 volume, chiefly illustrations, 27 cm",741.5,,,Fantasy,English,
"Marz, Ron",,person,author,"Marz, Ron, author [person]",018459556,Monograph,Language material ; Still image ; Text,Volume,GBB7D6577,9781401276874,Kyle Rayner. Vol. 1,,Green Lantern,,United States of America,"Burbank, California",DC Comics,2017,,"1 volume, chiefly illustrations, 28 cm",741.5,,"Green Lantern, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marz, Ron",,person,author,"Marz, Ron, author [person]",018784466,Monograph,Language material ; Still image ; Text,Volume,GBB846142,9781401278502,Kyle Rayner. Vol. 2,,Green Lantern,,United States of America,"Burbank, California",DC Comics,2018,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Green Lantern, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marz, Ron",,person,author,"Marz, Ron, author [person]",019795822,Monograph,Language material ; Still image ; Text,Volume,GBC058849,9781684056804,Rising sun,,,,United States of America,San Diego,,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Japan--History--1185-1868--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Marz, Ron",,person,author,"Ossio, Fico, artist [person] ; Rodriguez, David A., author [person] ; Marz, Ron, author [person]",017437000,Monograph,Language material ; Still image ; Text,Volume,GBB590563,9781631404122 ; 9781631404306,Skylanders. Rift into overdrive,Rift into Overdrive ; Skylanders (Game),,,United States of America,"San Diego, California",,2015,,"1 volume (unpaged), chiefly colour illustrations, 23 cm",741.5973,YKL.2017.a.3908,"Skylanders (Game)--Comic books, strips, etc",Children's fiction ; Comic or graphic novel ; Fantasy,English,'From the world of Skylanders'--cover
"Marz, Ron",,person,author,"Ossio, Fico, artist [person] ; Rodriguez, David A., author [person] ; Marz, Ron, author [person]",017766494,Monograph,Language material ; Still image ; Text,Volume,GBB634823,9781631405815,Secret agent secrets,,Skylanders,,United States of America,"San Diego, California",,2016,,"1 volume (unpaged), chiefly colour illustrations, 24 cm",741.5973,YKL.2017.a.12738,,Children's fiction ; Fantasy,English,
"Marz, Ron",,person,author,"Ossio, Fico, artist [person] ; Rodriguez, David A., author [person] ; Marz, Ron, author [person]",018000869,Monograph,Language material ; Still image ; Text,Volume,GBB6C4423,9781631407109,"Dive, dive, dive!",Skylanders superchargers,Skylanders,,United States of America,"San Diego, California",,2016,,"1 volume (unpaged), chiefly colour illustrations, 24 cm",741.5973,YKL.2017.a.17308,,Children's fiction ; Fantasy,English,'Originally published as Skylanders superchargers issues #4-6'--Title page verso
"Marz, Ron",,person,author,"Oum, Siya, artist [person] ; Carrasco, Gabe, editor [person] ; Mastromauro, Frank, editor [person] ; Marz, Ron, author [person] ; Hernandez, Vince, editor [person] ; Steigerwald, Peter, artist [person]",019718474,Monograph,Language material ; Still image ; Text,Volume,GBC027077,9781941511657,Echoes of the past,,Fathom,7 [Fathom],United States of America,Culver City,Aspen,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Marz, Ron",,person,author,"Peteri, Troy [person] ; Braga, Laura, cartoonist ; illustrator [person] ; Gonia, Betsy [person] ; Top Cow Productions, publisher [organisation] ; Marz, Ron, author [person]",016714971,Monograph,Language material ; Still image ; Text,Volume,GBB451487,9781632150257,Born again,,Witchblade,volume 1 [Witchblade],United States of America,Los Angeles,Top Cow Productions,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2015.b.1669,"Fantasy comic books, strips, etc",Fantasy,English,'Originally published in single magazine form as Witchblade 170-174'--title page verso
"Marz, Ron",,person,author,"Rocafort, Kenneth, artist [person] ; Marz, Ron, author [person]",017862434,Monograph,Language material ; Still image ; Text,Volume,GBB672685,9781632157812,Velocity,,,,United States of America,"Berkeley, California",Image Comics,2016,,"approximately 160 pages, colour illustrations, 26 cm",741.5973,YKL.2017.b.4489,,Science fiction,English,'Collects Velocity #1-4 and Pilot season: Velocity #1.'--back cover ; Title from cover
"Marz, Ron",,person,author,"Sears, Bart [person] ; Lanphear, Dave [person] ; Larger World Studios [organisation] ; Peteri, Troy [person] ; Raney, Tom, artist [person] ; Marz, Ron, author [person] ; Nanjan, J. [person]",018646250,Monograph,Language material ; Still image ; Text,Volume,GBB7O2052,9781684052028,Dread gods. Volume one,Dread gods. 1,,,United States of America,"San Diego, California ; Tonawanda, New York",Ominous Press,2018,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2020.b.1698,,Comic or graphic novel ; Fantasy,English,'Dread gods created by Bart Sears.' ; 'Originally published as Dread gods issues #1-4'--Title page verso
"Marz, Ron",,person,author,"Smith, Andy, 1969-, artist [person] ; Marz, Ron, author [person]",019049211,Monograph,Language material ; Still image ; Text,Volume,GBB8G8444,9781684053902,Demi-god,,,,United States of America,San Diego,,2018,,"1 volume, chiefly illustrations",741.5,,,Science fiction,English,
"Marz, Ron",,person,author,"Snyder, Tracy [person] ; Snyder, Jay T. [person] ; Deverajan, Sharad, author ; editor [person] ; George, Edison, artist [person] ; Marz, Ron, author [person] ; Edginton, Ian, author [person] ; Liquid Comics (Firm), artist [organisation] ; Singh, Mukesh, artist [person] ; Open Hands Initiative (Organization) [organisation]",016118170,Monograph,Language material ; Still image ; Text,Volume,GBB265180,9781606903544,Silver scorpion,,,,United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2012,,"1 volume (unpaged), chiefly illustrations (black and white and colour), 26 cm",741.5,YK.2013.b.10702,"Amputees--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction,English,At foot of cover title: Open Hands Initiative
"Marz, Ron",,person,author,"Šejić, Stjepan, artist [person] ; Marz, Ron, author [person] ; Peteri, Troy [person]",014016415,Monograph,Language material ; Still image ; Text,Volume,GBA777690,9781582408545,First born. Volume 1,,,,United States of America,"Berkeley, California",Top Cow Productions,2008,,"188 pages, colour illustrations, 26 cm",741.5973,YKL.2020.b.1152,,Comic or graphic novel ; Fantasy ; Young adult fiction,English,"'Collects First Born #1-3, as well as Witchblade #110-112'--Cover ; 'Witchblade created by Marc Silvestri, Brian Haberlin, David Wohl and Michael Turner ; The Darkness created by Marc Silvestri, Garth Ennis and David Wohl.'"
"Marz, Ron",,person,editor,"Marz, Ron, editor [person] ; Lawrence, Jack, 1975-, artist [person] ; Lanphear, Dave [person] ; Bullock, Mike, 1968-, author [person]",013443348,Monograph,Language material ; Still image ; Text,Volume,GBA639402,9781933428413,"Lions, tigers and bears",,,,United States of America,"La Mesa, California",Alias Enterprises,2005,,"112 pages, colour illustrations, 26 cm",741.5973,YKL.2020.b.524,,Comic or graphic novel ; Fantasy,English,"'Lions, tigers & bears, trade paperback#1. Issues #1-4, July 2005.'"
"Marzocchi, Leila",,person,artist ; author,"Marzocchi, Leila, artist ; author [person]",019908192,Monograph,Language material ; Still image ; Text,Volume,GBC0D1304,9781683963172,Nymph,,,,United States of America,Seattle,Fantagraphics,2020,,"1 volume, chiefly illustrations, 30 cm",741.5,,,Fantasy,English,
"Marzán, José, jr",,person,,"Guerra, Pia [person] ; Marzán, José, jr [person] ; Vaughan, Brian K. [person]",014761057,Monograph,Language material ; Text,Volume,GBA8B2618,9781848560178,"Y, the last man",,,,England,London,Titan,2008,Deluxe edition,"1 volume, chiefly colour illustrations, 28 cm",741.5,,"Plague--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marzán, José, jr",,person,,"Guerra, Pia [person] ; Suǆuka, Goran [person] ; Marzán, José, jr [person] ; Vaughan, Brian K. [person]",014602177,Monograph,Language material ; Text,Volume,GBA861925,9781401218133 ; 9781845769031,"Y, the last man. Whys and wherefores",,,,England ; United States of America,London ; New York,DC Comics ; Titan,2008,,"166 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.6192,Graphic novels,Novel ; Science fiction,English,'10'--Spine ; 'Originally published in single magazine form as Y: The Last Man 55-60'--T.p. verso ; 'Y: The last man created by Brian K. Vaughan and Pia Guerra.'
"Marzán, José, jr",,person,,"Immonen, Stuart [person] ; Marzán, José, jr [person]",006896711,Monograph,Language material ; Text,Volume,GBA2U1691,9781840235760,Superman : end of the century,,,,England ; United States of America,London ; New York,D.C. Comics ; Titan,2000,,"96 pages, colour illustrations, 26 cm",741.5,,"Superman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Marzán, José, jr",,person,,"Rossi, Luca [person] ; Dell'Edera, Werther [person] ; Marzán, José, jr [person] ; Sturges, Lilah [person]",015767336,Monograph,Language material ; Text,Volume,GBB131231,9780857685155 ; 9781401231545,House of Mystery. Safe as houses,Safe as houses,,,United States of America,New York,DC Comics,2011,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.12053,"Storytelling--Comic books, strips, etc ; Comic books, strips, etc--United States ; Bars (Drinking establishments)--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,'6'--Spine ; 'Originally published in single magazine form as House of mystery #26-30'--T.p. verso ; 'Vertigo'--Cover
"Marzán, José, jr",,person,,"Rossi, Luca [person] ; Dell'Edera, Werther [person] ; Marzán, José, jr [person] ; Sturges, Lilah [person]",015903791,Monograph,Language material ; Text,Volume,GBB1B6080,9780857689085 ; 9781401232641,House of Mystery. Conception,Conception,,,United States of America,New York,DC Comics,2011,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2012.b.2927,"Haunted houses--Comic books, strips, etc ; Young women--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,"'7'--Spine ; 'Originally published in single magazine form in House of Mystery #31-35, House of Mystery Halloween annual 2'--T.p. verso ; 'Vertigo'--Cover"
"Masaki, Kawakami",,person,artist ; author,"Masaki, Kawakami, artist ; author [person]",018550697,Monograph,Language material ; Still image ; Text,Volume,GBB7J2377,9781626925847,There's a demon lord on the floor. Vol. 4,,,,United States of America,New York,Seven Seas,2017,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,"Amon Patricia, (Fictitious character from Masaki)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Japanese
"Masaki, Kawakami",,person,artist ; author,"Masaki, Kawakami, artist ; author [person]",018732306,Monograph,Language material ; Still image ; Text,Volume,GBB829353,9781626927070,There's a demon lord on the floor. Volume 5,,,,United States of America,New York,Seven Seas,2018,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,"Amon Patricia, (Fictitious character from Masaki)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Japanese
"Masaki, Kawakami",,person,artist ; author,"Masaki, Kawakami, artist ; author [person]",019040363,Monograph,Language material ; Still image ; Text,Volume,GBB8G3482,9781626928305,There's a demon lord on the floor. Volume 6,,,,United States of America,New York,Seven Seas,2018,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,"Amon Patricia, (Fictitious character from Masaki)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Japanese
"Masaki, Kawakami",,person,artist ; author,"Masaki, Kawakami, artist ; author [person]",019495920,Monograph,Language material ; Still image ; Text,Volume,GBB9D5109,9781642756944,There's a demon lord on the floor. Volume 7,,,,United States of America,New York,Seven Seas,2019,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,"Amon Patricia, (Fictitious character from Masaki)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Japanese
"Masaki, Kawakami",,person,artist ; author,"Masaki, Kawakami, artist ; author [person]",019928422,Monograph,Language material ; Still image ; Text,Volume,GBC0D4164,9781645055273,There's a demon lord on the floor. Volume 8,,,,United States of America,Los Angeles,Seven Seas,2020,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,"Amon Patricia, (Fictitious character from Masaki)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Japanese
"Masaki, Kawakami",,person,author,"Masaki, Kawakami, author [person]",018287217,Monograph,Language material ; Still image ; Text,Volume,GBB761872,9781626924802,There's a demon lord on the floor. Vol. 2,,,,United States of America,New York,Seven Seas,2017,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Masaki, Kawakami",,person,author,"Masaki, Kawakami, author [person]",018408417,Monograph,Language material ; Still image ; Text,Volume,GBB7B3940,9781626925212,There's a demon lord on the floor. Vol. 3,,,,United States of America,New York,Seven Seas,2017,,"1 volume, chiefly black and white illustrations, 18 cm",741.5,,"Amon Patricia, (Fictitious character from Masaki)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Japanese
"Masamune, Shirow",,person,author,"Masamune, Shirow, author [person] ; Kuroda, Iou, artist ; author [person]",017390675,Monograph,Language material ; Still image ; Text,Volume,GBB574467,9781632362018,Appleseed alpha,,,,United States of America,New York,Kodansha Comics,2015,,"1 volume, chiefly illustrations, 20 cm",741.5,,New York (N.Y.)--Fiction,Fiction ; Science fiction,English,Translated from the Japanese
"Mase, Motoro",,person,,"Mase, Motoro [person]",014926843,Monograph,Language material ; Text,Volume,GBA925632,9781421526782,Ikigami. Vol. 1,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2009,,"1 volume, chiefly illustrations, 20 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",015271338,Monograph,Language material ; Text,Volume,GBA954590,9781421526799,Ikigami. Vol. 2,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2009,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",015357445,Monograph,Language material ; Text,Volume,GBA984678,9781421526805,Ikigami. Vol. 3,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2009,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",015415381,Monograph,Language material ; Text,Volume,GBA9A8962,9781421526812,Ikigami. Vol. 4,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2010,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",015479158,Monograph,Language material ; Text,Volume,GBB012199,9781421531656,Ikigami. Vol. 5,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2010,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",015566899,Monograph,Language material ; Text,Volume,GBB067815,9781421531663,Ikigami. Volume 6,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2010,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",015619099,Monograph,Language material ; Text,Volume,GBB093082,9781421536682,Ikigami. Volume 7,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2010,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,,"Mase, Motoro [person]",016086603,Monograph,Language material ; Text,Volume,GBB247382,9781421541884,Ikigami. Volume 8,,,,England ; United States of America,"London ; San Francisco, California",Media ; Simon & Schuster,2012,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,
"Mase, Motoro",,person,artist ; author,"Mase, Motoro, artist ; author [person]",016448985,Monograph,Language material ; Still image ; Text,Volume,GBB359593,9781421553078,Ikigami. Volume 9,,,,United States of America,"San Francisco, California",Media,2013,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,Translated from the Japanese
"Mase, Motoro",,person,artist ; author,"Mase, Motoro, artist ; author [person]",016784155,Monograph,Language material ; Still image ; Text,Volume,GBB471717,9781421566412,Ikigami. 10,,,,United States of America,San Francisco,Media,2014,,"1 volume, chiefly illustrations, 21 cm",741.5,,,Science fiction,English,Translated from the Japanese
