Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Grande, J. C.",,person,,"Gorfain, Joshua [person] ; Grande, J. C. [person]",015900121,Monograph,Language material ; Text,Volume,GBB1B3922,9781926914466,Sterling,,,,Canada,"Burnaby, British Columbia",Arcana Comics,2011,,"approximately 90 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2012.b.6984,"Superheroes--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,
"Grande, J. C.",,person,,"Thompson, Bart A. [person] ; Bellfield, Arthur [person] ; Grande, J. C. [person]",016027248,Monograph,Language material ; Text,Volume,GBB213205,9781926914862,War's chosen,Arcana Studio presents War's chosen,,,Canada,"Burnaby, British Columbia",Arcana Comics,2011,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2013.b.6199,,Comic or graphic novel ; Novel ; Science fiction,English,
"Grandenetti, Jerry",,person,,"Hamilton, Edmond, 1904-1977 [person] ; Giella, John [person] ; Millard, Joseph, 1908-1989 [person] ; Infantino, Carmine [person] ; Sachs, Bernard [person] ; Herron, Ed, 1916-1966 [person] ; Binder, Otto O. (Otto Oscar), 1911-1975 [person] ; Greene, Sid [person] ; Stallman, Manny [person] ; Broome, John, 1913-1999 [person] ; Wood, Dave, writer [person] ; Giunta, John [person] ; Giacoia, Frank [person] ; Sherman, Howard [person] ; Fox, Gardner F. (Gardner Francis), 1911-1986 [person] ; Barry, Sy, 1928- [person] ; Grandenetti, Jerry [person] ; Giella, Joe [person] ; Kane, Gil [person] ; Jurist, Ed [person]",016246615,Monograph,Language material ; Still image ; Text,Volume,GBB301816,9781401238469,Strange adventures. Volume two,Showcase presents Strange adventures. Volume 2,Showcase presents library of classics,,United States of America,New York,DC Comics,2013,,"518 pages, chiefly illustrated (black and white illustrations), 26 cm",741.5973,YKL.2016.b.3250,"Extraterrestrial beings--Comic books, strips, etc ; Life on other planets--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,Contains material originally published in 1956-1958 in single magazine form as Strange Adventures #74-93
"Grandenetti, Jerry",,person,artist,"Grandenetti, Jerry, artist [person] ; Gilbert, Michael T., editor [person] ; Mercer, Marilyn, author [person] ; Kanegson, Abe, artist [person]",016724252,Monograph,Language material ; Still image ; Text,Volume,GBB453080,9781616555320,The secret files of Dr. Drew,,,,United States of America,Milwaukie,Dark Horse,2014,,"1 volume, chiefly black and white illustrations, 26 cm",741.5,,,Horror,English,
"Granger, Shane",,person,,"Henderson, Jason, 1971- [person] ; Granger, Shane [person] ; Salvaggio, Tony [person]",013332751,Monograph,Language material ; Text,Volume,GBA595259,,Psy-comm,,,,England ; United States of America,Hamburg ; London,Tokyopop,2005-,,"volumes, chiefly illustrations, 19 cm",741.5973,YK.2008.a.16241,,Science fiction ; Young adult fiction,English,
"Granov, Adi",,person,,"Ellis, Warren [person] ; Granov, Adi [person]",016233537,Monograph,Language material ; Text,Volume,GBB2C7586,9780785183785,Extremis,,Iron Man,,England ; United States of America,London ; New York,Marvel ; Turnaround,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,Originally published: 2006
"Granov, Adi",,person,artist,"Alonso, Axel, editor [person] ; Robson, Eddie, author [person] ; Brevoort, Tom, editor [person] ; Sankovitch, Lauren, editor [person] ; Diggle, Andy, author [person] ; Granov, Adi, artist [person] ; Alessio, Agustin, artist [person]",016559741,Monograph,Language material ; Still image ; Text,Volume,GBB3B1337,9781846535734,Living legend,,Captain America,,England,"Tunbridge Wells, Kent",Panini,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5,YKL.2016.b.4452,"Captain America, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Marvel Comic book
"Granov, Adi",,person,artist,"Diggle, Andy, author [person] ; Granov, Adi, artist [person] ; Alessio, Agustin, artist [person]",016558181,Monograph,Language material ; Still image ; Text,Volume,GBB3A9777,9780785151111,Living legend,,Captain America,,United States of America,New York,Marvel,2014,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Captain America, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Granov, Adi",,person,artist,"Granov, Adi, artist [person] ; Ellis, Warren, author [person]",016220102,Monograph,Language material ; Still image ; Text,Volume,GBB2C0545,9781846535277,The invincible Iron Man. Extremis,Extremis,,,England,Tunbridge Wells,Panini Publishing,2013,Enhanced edition,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2013.b.10838,"Iron Man, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,'Collecting Invincible Iron Man volume 4 #1-6 and Marvel Spotlight: Iron Man Movie'--Back cover
"Granov, Adi",,person,artist,"Granov, Adi, artist [person] ; Ellis, Warren, author [person]",019530588,Monograph,Language material ; Still image ; Text,Volume,GBB9F0521,9781302918903,Extremis,,Iron Man,,United States of America,New York,Marvel Worldwide,2019,Marvel select edition,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Iron Man, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
